City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,kruisfontein,-34.0033,24.7314,18.5,88,100,3.09,ZA,1738844401
274,acapulco de juarez,16.8634,-99.8901,22.9,78,40,0.0,MX,1738844403
275,lamu,-2.2717,40.902,27.34,73,77,8.85,KE,1738844404
276,chitipa,-9.7024,33.2697,20.86,91,100,2.1,MW,1738844406
277,troitskoye,52.9821,84.6757,-13.88,96,7,2.79,RU,1738844407
278,lerwick,60.1545,-1.1494,8.18,80,91,9.72,GB,1738844408
279,barra de santo antonio,-9.4047,-35.5072,25.6,86,100,3.82,BR,1738844411
280,sept-iles,50.2001,-66.3821,-14.71,66,100,0.51,CA,1738844244
281,longgang,37.6508,120.3286,-1.15,46,31,5.12,CN,1738844413
282,stawell,-37.05,142.7667,22.14,49,0,4.26,AU,1738844414
283,iwanai,42.9744,140.5089,-3.39,87,100,6.52,JP,1738844415
284,fisterra,42.9049,-9.2629,12.41,72,100,5.62,ES,1738844416
285,zaki biam,7.5167,9.6167,38.08,7,81,2.14,NG,1738844417
286,masterton,-40.9597,175.6575,10.6,94,100,0.33,NZ,1738844418
287,sao jose da coroa grande,-8.8978,-35.1478,26.33,83,100,4.05,BR,1738844419
288,belyy yar,53.6039,91.3903,-16.06,85,82,0.0,RU,1738844420
289,walvis bay,-22.9575,14.5053,22.66,65,62,6.11,NA,1738844421
290,itacarambi,-15.1022,-44.0919,25.35,58,0,1.72,BR,1738844422
291,codrington,-38.2667,141.9667,17.08,95,0,2.64,AU,1738844424
292,aldama,22.9167,-98.0667,18.87,97,48,0.95,MX,1738844425
293,new norfolk,-42.7826,147.0587,16.51,95,55,0.77,AU,1738844426
294,campo mourao,-24.0456,-52.3831,20.89,99,100,3.23,BR,1738844427
295,chyorny yar,48.0624,46.1091,0.69,59,20,6.5,RU,1738844428
296,zahedan,29.4963,60.8629,11.95,20,75,8.23,IR,1738844430
297,olinda,-8.0089,-34.8553,27.85,83,100,3.6,BR,1738844350
298,yinchuan,38.4681,106.2731,-11.55,37,16,6.99,CN,1738844168
299,farafangana,-22.8167,47.8333,26.57,86,99,2.81,MG,1738844344
300,blenheim,-41.516,173.9528,13.16,92,74,1.08,NZ,1738844434
301,kaga bandoro,6.9896,19.1874,40.5,10,75,2.68,CF,1738844435
302,coquimbo,-29.9533,-71.3436,16.85,88,75,1.03,CL,1738844436
303,rio claro,-22.4114,-47.5614,24.66,84,100,1.34,BR,1738844437
304,aitape,-3.1374,142.3475,26.12,85,100,0.46,PG,1738844438
305,alofi,-19.0595,-169.9187,23.94,100,92,0.0,NU,1738844439
306,nadi,-17.8,177.4167,28.0,78,40,4.12,FJ,1738844440
307,jaru,-10.4389,-62.4664,23.74,95,100,0.62,BR,1738844441
308,motygino,58.1831,94.7592,-23.32,100,99,0.35,RU,1738844443
